Date,Close,Scaled_Close
2004-08-25,987.95,0.19193401399422316
2004-08-26,979.0,0.18916915092445286
2004-08-27,962.65,0.18411825581934171
2004-08-30,986.75,0.19156330609660033
2004-08-31,988.1,0.19198035248142603
2004-09-01,987.9,0.1919185678318222
2004-09-02,993.65,0.1936948765079316
2004-09-03,997.85,0.19499235414961152
2004-09-06,994.85,0.19406558440555444
2004-09-07,995.6,0.19429727684156872
2004-09-08,993.7,0.19371032267033256
2004-09-09,979.95,0.1894626280100709
2004-09-10,988.8,0.1921965987550393
2004-09-13,1003.5,0.19673777050091906
2004-09-14,1015.65,0.20049118796435028
2004-09-15,1006.1,0.19754097094576856
2004-09-16,1008.45,0.19826694057861327
2004-09-17,1024.5,0.20322515870931868
2004-09-20,1022.9,0.20273088151248825
2004-09-21,1045.8,0.20980522389212403
2004-09-22,1052.05,0.21173599419224293
2004-09-23,1030.25,0.20500146738542813
2004-09-24,1028.8,0.2045535286758005
2004-09-27,1020.75,0.2020666965292473
2004-09-28,1015.55,0.20046029563954837
2004-09-29,1031.0,0.20523315982144236
2004-09-30,1027.1,0.20402835915416812
2004-10-01,1047.7,0.2103921780633602
2004-10-04,1076.5,0.21928916760630823
2004-10-05,1080.7,0.22058664524798816
2004-10-06,1081.6,0.22086467617120525
2004-10-07,1097.1,0.2256529865155002
2004-10-08,1098.05,0.2259464636011183
2004-10-09,1100.65,0.2267496640459678
2004-10-11,1089.3,0.22324338518095177
2004-10-12,1084.45,0.22174510742805953
2004-10-14,1116.2,0.2315534205526637
2004-10-15,1126.0,0.2345808683832502
2004-10-18,1137.25,0.23805625492346427
2004-10-19,1143.2,0.23989434824917755
2004-10-20,1133.25,0.23682056193138817
2004-10-21,1125.55,0.2344418529216416
2004-10-25,1117.35,0.23190868228788558
2004-10-26,1137.2,0.23804080876106337
2004-10-27,1139.9,0.23887490153071472
2004-10-28,1165.95,0.24692235214161046
2004-10-29,1156.25,0.24392579663582586
2004-11-01,1170.65,0.24837429140729989
2004-11-02,1159.7,0.2449915818414915
2004-11-03,1175.2,0.2497798921857865
2004-11-04,1170.4,0.24829706059529516
2004-11-05,1165.45,0.24676789051760095
2004-11-08,1184.15,0.2525447552555568
2004-11-09,1188.4,0.2538576790596377
2004-11-10,1194.35,0.25569577238535085
2004-11-11,1196.25,0.256282726556587
2004-11-12,1196.75,0.2564371881805966
2004-11-16,1190.9,0.25462998717968527
2004-11-17,1205.4,0.2591093742759612
2004-11-18,1231.0,0.26701780942524833
2004-11-19,1217.1,0.26272377627778376
2004-11-22,1222.45,0.2643765156546856
2004-11-23,1235.55,0.2684234102037349
2004-11-24,1233.9,0.2679136868445035
2004-11-25,1216.85,0.26264654546577904
2004-11-29,1243.9,0.27100291932469384
2004-11-30,1274.65,0.280502309201279
2004-12-01,1261.55,0.27645541465222967
2004-12-02,1242.6,0.27060131910226903
2004-12-03,1236.75,0.2687941181013577
